Dimension,Severity,Realized_Rate_Mean,Realized_Rate_SD,Changed_Instance_Rate_Mean,Nominal_Severity
Completeness,0.1,9.998813197246617,0.058876794311802004,87.41333333333333,10.0
Completeness,0.2,20.0,0.03059200083737827,95.40666666666667,20.0
Completeness,0.3,29.99960439908221,0.027500666653119173,97.61333333333333,30.0
Consistency,0.1,10.003513826908888,0.04614030719612281,88.84666666666668,10.0
Consistency,0.2,19.994026494254893,0.04100426733431644,95.41333333333334,20.0
Consistency,0.3,30.012649776871992,0.034842743345243836,97.34666666666666,30.0
Textual Accuracy,0.1,9.985324629320377,0.05826689825496828,82.35333333333334,10.0
Textual Accuracy,0.2,19.998987905470372,0.03165324630129231,92.34,20.0
Textual Accuracy,0.3,30.011639087090735,0.04865033235072852,95.74666666666667,30.0
Understandability,0.1,9.994461587150882,0.08705917052618516,71.09333333333335,10.0
Understandability,0.2,19.99723079357544,0.05777669805192546,87.45333333333333,20.0
Understandability,0.3,29.950549885275734,0.02691830973369008,92.59333333333333,30.0
Validity,0.1,10.03164807342353,0.03648868979564023,87.7,10.0
Validity,0.2,19.966373921987497,0.03823744310156891,95.5,20.0
Validity,0.3,30.010681224780445,0.036617133806074176,97.82,30.0
